,Rank,Cafe,Menu,Price,Address,URL
0,1,Old Oak Tap,BLT,$10.,2109 W. Chicago Ave.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Oak-Tap-BLT/
1,2,Au Cheval,Fried Bologna,$9.,800 W. Randolph St.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Au-Cheval-Fried-Bologna/
2,3,Xoco,Woodland Mushroom,$9.50,445 N. Clark St.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Xoco-Woodland-Mushroom/
3,4,Al’s Deli,Roast Beef,$9.40,914 Noyes St.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Als-Deli-Roast-Beef/
4,5,Publican Quality Meats,PB&L,$10.,825 W. Fulton Mkt.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Publican-Quality-Meats-PB-L/
5,6,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,$7.25,100 E. Walton St.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hendrickx-Belgian-Bread-Crafter-Belgian-Chicken-Curry-Salad/
6,7,Acadia,Lobster Roll,$16.,1639 S. Wabash Ave.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Acadia-Lobster-Roll/
7,8,Birchwood Kitchen,Smoked Salmon Salad,$10.,2211 W. North Ave.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Birchwood-Kitchen-Smoked-Salmon-Salad/
8,9,Cemitas Puebla,Atomica Cemitas,$9.,3619 W. North Ave.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cemitas-Puebla-Atomica-Cemitas/
9,10,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,$17.,3267 S. Halsted St.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Nana-Grilled-Laughing-Bird-Shrimp-and-Fried-Oyster-Po-Boy/
10,11,Lula Cafe,Ham and Raclette Panino,$11.,2537 N. Kedzie Blvd.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Lula-Cafe-Ham-and-Raclette-Panino/
11,12,Ricobene’s,Breaded Steak,$5.49,Multiple locations,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Ricobenes-Breaded-Steak/
12,13,Frog n Snail,The Hawkeye,$14.,3124 N. Broadway,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Frog-n-Snail-The-Hawkeye/
13,14,Crosby’s Kitchen,Chicken Dip,$10.,3455 N. Southport Ave.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Crosbys-Kitchen-Chicken-Dip/
14,15,Longman & Eagle,Wild Boar Sloppy Joe,$13.,2657 N. Kedzie Ave.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Longman-and-Eagle-Wild-Boar-Sloppy-Joe/
15,16,Bari,Meatball Sub,$4.50,1120 W. Grand Ave.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bari-Meatball-Sub/
16,17,Manny’s,Corned Beef,$11.95,1141 S. Jefferson St.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mannys-Corned-Beef/
17,18,Eggy’s,Turkey Club,$11.50,333 E. Benton Pl.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Eggys-Turkey-Club/
18,19,Old Jerusalem,Falafel,$6.25,1411 N. Wells St.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Jerusalem-Falafel/
19,20,Mindy’s HotChocolate,Crab Cake,$15.,1747 N. Damen Ave.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mindys-HotChocolate-Crab-Cake/
20,21,Olga’s Delicatessen,Chicken Schnitzel,$5.,3209 W. Irving Park Rd.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Olgas-Delicatessen-Chicken-Schnitzel/
21,22,Dawali Mediterranean Kitchen,Shawarma,$6.,Multiple locations,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Dawali-Mediterranean-Kitchen-Shawarma/
22,23,Big Jones,Toasted Pimiento Cheese,$8.,5347 N. Clark St.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Big-Jones-Toasted-Pimiento-Cheese/
